Gender;Age;Academic Program;Antwort 1;Antwort 2;Antwort 3
female;23;Data Science / MSc / TU Wien;YouTube;3;Watching entertainment content
male;21;Data Science / MSc / TU Wien;YouTube;6;Watching entertainment content
female;23;Data Science / MSc / TU Wien;Instagram;2;Watching entertainment content
female;24;Data Science / MSc / TU Wien;Instagram;1.5;Watching entertainment content
male;22;Data Science / MSc / TU Wien;YouTube;2;Watching entertainment content
male;25;Data Science;Instagram;1;Watching educational content
male;26;Data Science / MSc / TU Wien;YouTube;5;Watching entertainment content
male;43;Data Science / MSc / TU Wien;Whatsapp;1;Chatting
male;23;Business Informatics / BSc/ TU Wien;YouTube;2;Watching entertainment content
female;26;MSc Data Science;Instagram;3;Watching entertainment content
female;22;Data Science / MSc / TU WIen;Instagram;3;Watching entertainment content
male;28;Data Science Msc;YouTube;3;Watching entertainment content
male;30;Data Science / MSc / TU Wien;YouTube;3;Watching news
male;26;Data Science / MSc / TU Wien;YouTube;4;Watching entertainment content
female;30;Data Science;Whatsapp;2;Chatting
female;23;Data Science / MSc / TU Wien;Instagram;2;Watching news
male;23;Statistik und Wirtschaftsmathematik BSc TU Wien;YouTube;5;Watching entertainment content
male;25;Data Science;YouTube;1,5;Watching educational content
male;27;Data Science;Whatsapp;2;Chatting
male;25;Data Science;Instagram;0.5;Watching entertainment content
female;33;Data Science;YouTube;4;Watching educational content
male;24;Data Science;Whatsapp;1;Watching educational content
female;32;Data Science MSc.;Instagram;2;Watching entertainment content
female;22;Data Science / MSc / TU Wien;Instagram;1;Watching entertainment content
female;30;MSc;Instagram;2;Watching entertainment content
male;46;Data Science;YouTube;1;Watching educational content
female;25;Data Science / MSc / TU Wien;TikTok;6;Watching entertainment content
female;22;Erasmus student, Statistic;Whatsapp;4;Chatting
male;23;Data Science / MSc / TU Wien;Instagram;1;Chatting
female;22;Data Science / MSc / TU Wien;Instagram;2;Watching news
male;31;Data Science / MSc / TU Wien;YouTube;2;Watching entertainment content
female;26;Data Science / MSc / TU Wien;Instagram;3;Chatting
male;23;Data Science / MSc / TU Wien;YouTube;1,5;Watching entertainment content
female;23;Data Science / MSc / University of Zagreb;Whatsapp;5;Chatting
male;22;Data Science / MSc / TU Wien;YouTube;2;Watching entertainment content
male;23;Business Informatics / BSc / TU Wien;Whatsapp;2;Chatting
male;23;Data Science / MSc / TU Wien;Instagram;3;Watching entertainment content
male;22;Data Science;YouTube;3;Watching educational content
